,0
Abstract:,30
Infections,1
in,229
childhood,1
play,2
an,20
essential,4
role,6
the,332
pathogenesis,4
of,367
cognitive,5
and,317
psycho-emotional,1
disorders.,1
One,3
possible,4
mechanisms,9
these,7
impairments,2
is,37
changes,12
functional,4
properties,1
NMDA,3
AMPA,3
glutamate,3
receptors,3
brain.,1
We,18
suggest,4
that,33
bacterial,3
infections,4
during,11
early,13
life,3
"period,",1
which,9
critical,3
for,83
excitatory,2
synapse,2
"maturation,",1
can,3
affect,4
subunit,2
composition,2
receptors.,1
In,13
present,4
"study,",4
we,22
investigated,2
effect,10
repetitive,1
lipopolysaccharide,1
(LPS),1
intraperitoneal,1
(i.p.),1
administration,2
(25 μg/kg/day,1
on,35
"P14,",1
"16,",1
"18),",1
mimicking,2
infectious,2
"disease,",4
expression,20
subunits,1
young,3
rats.,4
revealed,6
a,68
substantial,1
decrease,1
GluN2B,1
hippocampus,3
at,27
P23,1
using,13
Western,2
blot,2
analysis,7
real-time,1
polymerase,1
chain,1
reaction,2
assay.,2
Moderate,1
were,76
also,9
found,6
"GluN1,",1
"GluN2A,",1
GluA1,1
mRNA,7
expression.,1
The,56
LPS-treated,1
rats,12
exhibited,2
decreased,4
exploratory,1
locomotor,1
activity,5
open,2
field,1
test,2
impairment,6
spatial,1
learning,1
Morris,1
water,1
maze.,1
Behavioral,1
accompanied,3
by,45
significant,7
reduction,8
long-term,5
hippocampal,1
synaptic,2
potentiation.,1
Our,4
data,12
indicate,1
LPS-treatment,1
period,2
maturation,1
alters,2
ionotropic,2
receptor,6
gene,7
"expression,",1
disturbs,1
"plasticity,",1
"behavior.
",1
Prolonged,1
exposure,5
to,123
manganese,2
(Mn),1
may,15
lead,3
toxic,1
effects,7
central,3
nervous,1
system,4
(CNS).,1
underlying,4
neuronal,1
death,3
from,31
Mn,3
are,22
not,16
well,5
understood,1
but,7
undoubtedly,1
involve,1
inflammatory,5
processes.,1
aim,5
this,16
study,24
was,85
explore,1
long-lasting,2
intranasal,3
focusing,1
processes,1
catecholamine,1
"(dopamine,",1
norepinephrine),1
levels,10
striatum,3
hippocampus.,3
It,3
instillation,1
MnCl2,2
solution,2
once,1
day,8
90,1
days,6
leads,1
impaired,2
movement,1
gait.,1
observed,8
concentration,3
increased,17
(by,2
30,1
%),7
220,1
"%),",3
dopamine,9
(24,2
DOPAC,2
(35,1
reduced,2
"striatum,",1
(190,1
(220,1
with,137
simultaneously,1
norepinephrine,1
(30,2
Observation,1
cytokine,11
both,12
assayed,1
cytokines,4
(IL-1β,1
TNF-α),1
There,6
3-fold,1
increase,7
IBA-1,1
"mRNA,",2
2-fold,1
NFκB,1
dramatic,1
IkB,1
striatum.,1
Taken,1
"together,",1
high,3
dose,1
induces,2
neuroinﬂammation,2
neurotransmission,1
"disturbance,",1
specific,5
each,3
studied,6
brain,8
"region.
",1
Shortly,1
after,14
syphilis,2
appeared,2
Europe,1
time,7
Columbus’,1
voyage,1
New,1
"World,",1
big,1
"pox,",1
as,25
it,4
often,2
"known,",1
became,1
serious,1
issue,1
Russia,1
"diagnosis,",1
"treatment,",2
prevention.,1
Members,1
Russian,5
royal,1
family,1
made,3
aware,2
disease,17
adolescence,1
onward.,1
Czar,1
Peter,2
Great,2
had,13
many,4
sexual,1
contacts,1
could,5
have,8
contracted,2
any,5
number,4
sexually,2
transmitted,2
diseases,1
(STDs),1
quite,1
common,8
his,2
era.,1
"Nevertheless,",1
contributions,2
analyzed,3
available,3
sources,2
contemporary,1
"doctors,",1
later,2
medical,1
"analyses,",1
reveal,2
no,5
evidence,6
he,2
or,20
other,8
STD.,1
Most,2
"likely,",1
died,1
acute,7
renal,1
failure,1
due,2
urinary,1
tract,4
"obstruction.
",1
Upper,1
respiratory,3
world's,1
most,9
disease.,4
etiologic,1
agents,2
behind,1
upper,3
(URTIs),1
"are,",1
"fact,",1
diverse,2
set,1
pathogens,3
such,7
"influenza,",1
"parainfluenza,",1
"adenovirus,",1
"rhinovirus,",1
others.,1
More,2
than,11
200,1
known,1
be,14
involved.,1
Differential,1
diagnosis,4
viral,5
sometimes,1
complicated,1
their,8
diversity,1
similarity,1
clinical,15
presentation.,1
This,5
work,2
devoted,2
development,3
method,4
enables,1
simultaneous,2
detection,2
six,4
URTI,1
pathogens:,1
IAV;,1
IBV;,1
RSV;,1
hAdV;,1
hPIV2;,1
hPIV3.,1
Antibody,2
microarray,3
technology,1
utilized,1
accomplish,1
analysis.,2
preparation,1
protein,5
microchip,4
"creation,",1
"produced,",1
"characterized,",1
selected,1
approximately,2
50,3
monoclonal,3
antibodies;,1
aforementioned,1
"pathogens,",1
optimal,2
antibody,3
pair,1
selected.,1
A,12
"created,",1
its,4
core,1
working,1
conditions,2
optimized.,1
With,3
balance,3
between,10
convenience,1
maximal,1
assay,1
sensitivity,2
"mind,",1
one-step,1
approach,1
developed,3
accomplishing,1
ELISA-like,1
“sandwich”,1
interaction,1
manufactured,1
(antibody,1
microarray).,1
Reference,2
strains,1
used,6
establish,1
lower,10
limits,3
(LoD),1
For,3
"IAV,",1
LoD,2
0.25 ng/ml,1
total,3
protein.,2
"viruses,",1
ranged,1
1,7
2 ng/ml,1
These,4
slightly,1
better,2
those,6
standard,3
"ELISA,",1
inferior,1
PCR.,1
"Overall,",2
believe,1
good,2
alternative,1
existing,1
"methods,",2
allowing,1
relatively,1
quick,1
"(overnight),",1
"inexpensive,",1
screening,2
several,1
pathogens.,1
design,1
conducive,1
further,3
"development,",2
panel,1
expanded,1
include,2
"members.
",1
fullerene,3
"members,",1
"C60,",1
has,7
potential,5
application,2
various,2
fields,1
biomedicine,1
including,11
reactive,1
oxygen,1
species,1
(ROS),1
scavenging,2
"activity,",1
inhibiting,1
tumours,1
inactivating,1
viruses,1
"bacteria,",1
elaboration,1
diagnostic,4
targeted,1
drug,2
delivery,1
tools.,1
"However,",3
hydrophobicity,1
molecule,1
impedes,1
practical,1
"use,",3
therefore,1
actuality,1
research,7
functionalisation,1
fullerenes,1
leading,3
amphiphilic,1
derivatives,1
remains,1
important.,1
"work,",1
water-soluble,2
carboxylated,1
derivative,2
C60[C(COOH)2]3,2
studied.,2
Extensive,1
biomedical,2
investigation,1
"compound,",1
"namely,",1
binding,1
human,7
serum,1
albumin,1
"(HSA),",1
radical,1
diphenylpicrylhydrazyl,1
(DPPH),1
"radical,",1
photodynamic,1
"properties,",1
cytotoxicity,1
embryonic,1
kidney,1
(HEK293),1
cell,7
"line,",1
erythrocytes',1
"haemolysis,",1
platelet,1
"aggregation,",1
genotoxicity,1
peripheral,6
mononuclear,1
cells,5
(PBMC),1
conducted.,1
"Moreover,",2
dynamic,3
structural,2
characteristics,1
C60[C(COOH)2]3–H2O,1
binary,1
obtained,4
molecular,5
(MD),1
"method,",1
size,6
distribution,1
associates,1
"measured.
",1
"Aims
",1
our,8
single-center,1
retrospective,2
evaluated,4
whether,1
level,13
different,5
checkpoint,6
molecules,3
bone,5
marrow,5
biopsies,2
course,3
patients,55
myelodysplastic,2
syndrome,2
"(MDS).
",1
Methods,1
"results
",1
consecutive,2
cohort,8
55,2
MDS,2
treated,7
center,1
2003,1
2018,1
technique,1
able,2
detect,1
following,2
antigens:,1
"PD-1,",2
"PD-L1,",1
"PD-L2,",2
"LAG-3,",1
"Gal-9,",1
"TIM-3,",1
CD80.,1
association,6
3-year,3
overall,8
relapse-free,3
survival,13
time-to-progression,1
analyzed.,1
Intensive,1
TIM-3,2
100%,1
cases.,1
"Also,",1
"cases,",1
moderate,1
Gal-9,1
observed.,2
follow-up,8
progression,4
seen,1
72.9%,1
CD80,2
52.1%,1
low,5
(p=0.04).,1
CTLA4,1
ligands,2
co-expressed,1
majority,2
patients.,4
General,1
ligand,2
associated,14
incidence,4
progression:,1
67.2%,1
"progressed,",1
while,5
group,19
only,9
33.3%,1
cases,3
(p=0.059).,1
"CD80,",1
"TIM3,",1
blasts,1
risk,10
according,2
IPSS,1
IPSS-R,1
"scales.
",1
"Conclusions
",4
preliminary,2
underlined,1
heterogeneous,1
immune,6
warrants,1
studies,4
define,1
heterogeneity,1
develop,3
treatment,13
"approaches.
",1
"Background
",4
COVID-19,9
pandemic,4
broadly,1
disrupted,1
non-invasive,1
stimulation,3
(NIBS).,1
rapid,3
onset,5
societal,1
disruption,1
evolving,1
regulatory,4
restrictions,2
allowed,1
systematic,3
planning,1
how,2
continue,1
throughout,1
restarted,1
abated.,1
urgency,1
provide,3
NIBS,9
intervention,1
neurological,3
mental,3
health,4
"indications,",1
catalyst,1
fundamental,1
"research,",1
dampened,1
parallel,1
efforts,1
address,2
life-threatening,1
aspects,1
COVID-19;,1
rather,1
need,4
heightened,1
mitigate,1
consequences,1
related,2
"COVID-19.
",1
"Objective
",3
To,6
facilitate,1
re-establishment,1
access,2
services,2
operations,3
current,4
future,4
"outbreaks,",1
discuss,3
framework,1
balancing,1
importance,3
safety,4
