,in 2020.txt,in 2021.txt
the,388.0,443.0
of,369.0,360.0
Unnamed: 48,,351.0
and,319.0,295.0
in,242.0,280.0
with,141.0,142.0
to,129.0,131.0
patients,72.0,115.0
a,84.0,101.0
was,85.0,92.0
for,86.0,71.0
were,76.0,70.0
is,37.0,46.0
on,37.0,45.0
or,22.0,39.0
study,41.0,37.0
by,48.0,36.0
we,40.0,35.0
countries,2.0,34.0
that,33.0,33.0
abstract,32.0,33.0
this,21.0,32.0
at,31.0,31.0
from,32.0,30.0
an,24.0,28.0
pd,29.0,27.0
de,,26.0
–,27.0,25.0
using,14.0,25.0
use,4.0,24.0
disease,28.0,24.0
as,25.0,23.0
treatment,18.0,23.0
no,8.0,21.0
after,15.0,20.0
not,16.0,20.0
all,8.0,20.0
be,14.0,19.0
are,24.0,19.0
phase,3.0,18.0
p  ,11.0,18.0
eculizumab,,18.0
data,15.0,17.0
between,10.0,16.0
survival,14.0,16.0
therapy,9.0,16.0
rs,5.0,16.0
tdm,,16.0
results,22.0,16.0
care,1.0,15.0
responses,3.0,15.0
these,11.0,15.0
effects,7.0,14.0
neurons,6.0,14.0
population,4.0,14.0
pain,2.0,14.0
prevent,,14.0
analysis,13.0,14.0
months,19.0,13.0
have,8.0,13.0
also,10.0,13.0
response,15.0,13.0
expression,22.0,13.0
median,12.0,13.0
outcomes,6.0,13.0
effect,11.0,13.0
vascular,,13.0
cells,7.0,13.0
y,,12.0
relapse,2.0,12.0
grade,4.0,12.0
its,4.0,12.0
cr,5.0,12.0
observed,11.0,12.0
reduction,8.0,12.0
associated,14.0,12.0
  ,,12.0
compared,20.0,12.0
received,5.0,11.0
activity,6.0,11.0
nsb,,11.0
but,7.0,11.0
adjuvant,,11.0
rats,20.0,11.0
increased,18.0,11.0
cancer,1.0,11.0
risk,14.0,11.0
brain,9.0,10.0
trial,4.0,10.0
hd,,10.0
asian,,10.0
-,1.0,10.0
based,3.0,10.0
health,4.0,10.0
objective,3.0,10.0
may,15.0,10.0
chronic,3.0,10.0
high,4.0,9.0
most,11.0,9.0
increase,7.0,9.0
had,13.0,9.0
con,,9.0
la,,9.0
blood,12.0,9.0
both,13.0,9.0
within,2.0,9.0
versus,8.0,9.0
en,,9.0
acute,10.0,9.0
our,12.0,9.0
who,5.0,9.0
significant,7.0,9.0
motion,,9.0
sound,,9.0
however,5.0,9.0
taar,,9.0
their,8.0,9.0
surgery,,9.0
mirna-,,9.0
methods,17.0,9.0
only,11.0,9.0
ptb,,9.0
buspirone,,9.0
size,7.0,9.0
stage,2.0,9.0
levels,11.0,9.0
gcase,,9.0
clinical,16.0,9.0
studies,6.0,8.0
level,14.0,8.0
atezolizumab,,8.0
serum,3.0,8.0
than,11.0,8.0
groups,8.0,8.0
pandemic,6.0,8.0
including,12.0,8.0
model,5.0,8.0
adverse,7.0,8.0
visual,4.0,8.0
used,7.0,8.0
respectively,11.0,8.0
placebo,3.0,8.0
more,10.0,8.0
number,4.0,8.0
dose,1.0,8.0
system,5.0,8.0
quality,1.0,8.0
spatial,1.0,8.0
bariatric,,8.0
tnf-α,1.0,8.0
mor,,8.0
vs,2.0,8.0
myocardial,,8.0
glycogen,,8.0
aqp,,8.0
nmosd,,8.0
chemotherapy,1.0,8.0
subgroup,,8.0
which,9.0,8.0
scarb,,8.0
time,8.0,8.0
patterns,6.0,8.0
suicide,,8.0
changes,14.0,8.0
areas,,8.0
one,8.0,8.0
could,5.0,8.0
stigma,,8.0
ambroxol,,8.0
days,7.0,8.0
laser,2.0,7.0
nts,,7.0
plants,,7.0
age,23.0,7.0
mirna-а,,7.0
dolor,,7.0
findings,6.0,7.0
reu,,7.0
leukemia,5.0,7.0
background,5.0,7.0
can,3.0,7.0
group,33.0,7.0
low,5.0,7.0
expressed,,7.0
scz,,7.0
cell,8.0,7.0
processing,,7.0
cccooh,3.0,7.0
pelvic,,7.0
carboxylated,1.0,7.0
lorlatinib,6.0,7.0
involved,2.0,7.0
showed,3.0,7.0
it,7.0,7.0
higher,7.0,7.0
similar,1.0,7.0
hiv,4.0,7.0
ci,8.0,7.0
other,10.0,7.0
studied,8.0,7.0
crónico,,7.0
type,2.0,7.0
active,5.0,7.0
status,3.0,7.0
primary,4.0,7.0
pélvico,,7.0
respiratory,3.0,7.0
function,10.0,6.0
del,,6.0
thus,2.0,6.0
synchronization,,6.0
nct,1.0,6.0
/,3.0,6.0
tratamiento,,6.0
lung,2.0,6.0
refractory,,6.0
controls,8.0,6.0
