,0
Abstract:,21
The,34
midbrain,1
periaqueductal,1
gray,1
(PAG),1
is,29
a,63
key,2
structure,1
involved,2
in,136
the,206
supraspinal,2
modulation,2
of,212
pain.,1
Previous,1
studies,9
have,13
reported,7
association,8
gut,3
inflammation-triggered,1
chronic,7
abdominal,3
pain,1
with,96
structural,2
and,232
neuronal,3
alterations,1
within,1
PAG.,1
"However,",3
whether,4
PAG-executed,1
visceral,5
nociception,2
processing,3
descending,3
are,12
altered,2
pathology,1
not,21
known.,1
We,23
used,6
c-Fos,3
immunohistochemistry,1
extracellular,2
microelectrode,1
recording,2
urethane-anesthetized,1
male,1
Wistar,1
rats,1
to,96
evaluate,2
colitis-induced,1
changes,7
pain-related,1
properties,2
PAG,7
its,6
outflow,1
nociceptive,1
neurons,3
caudal,1
ventrolateral,4
medulla,1
(CVLM).,1
Analysis,1
protein,2
expression,2
inflamed,1
animals,2
has,7
shown,5
diminished,1
activation,2
lateral,1
columns,1
by,35
noxious,1
colorectal,1
distension,1
"(CRD),",1
although,2
nonstimulated,1
labeling,1
these,6
subdivisions,1
was,47
enhanced,2
compared,9
that,24
controls.,1
Microelectrode,1
revealed,3
colitis-elicited,1
decrease,2
proportion,1
CRD-excited,2
accompanied,1
an,11
increase,3
number,4
unresponsive,1
cells,5
weakened,1
reactions,2
stimulation,4
CRD-inhibited,1
units.,1
Colonic,1
inflammation,1
also,7
been,8
found,4
cause,2
shift,1
effects,8
electrostimulation,1
on,28
CVLM,1
from,20
being,1
mostly,1
inhibitory,1
under,3
normal,2
conditions,2
excitatory,1
colitis.,1
These,5
findings,4
identify,2
impaired,1
functioning,1
ascending,1
control,2
may,4
contribute,3
injury-associated,1
hyperalgesia.,1
data,19
obtained,4
can,6
benefit,1
better,3
understanding,2
mechanisms,4
pathogenesis,2
postinflammatory,1
"pain.
",1
"Background
",6
HIV-positive,3
people,1
who,13
inject,1
drugs,1
(PWID),1
stigmatized,1
face,1
more,7
challenges,1
accessing,1
ART.,1
natural,1
course,2
stigma,11
role,4
ART,12
initiation,6
this,15
population,2
unclear.,1
examined,1
1],1
HIV,10
over,4
time,7
2],1
substance,3
use,12
associated,13
prospective,3
cohort,4
PWID,2
St.,2
"Petersburg,",2
"Russia.
",2
"Methods
",9
165,1
were,72
ART-naïve,2
at,10
enrollment,1
andgeneralized,1
estimating,1
equations,1
assess,2
between,16
"baseline,",1
12-,1
24-month,1
study,15
visits.,1
Logistic,1
regression,4
estimated,2
associations,2
initiation.,2
All,2
models,2
adjusted,1
for,50
"gender,",1
"age,",2
CD4,2
"count,",1
duration,1
"diagnosis,",1
recent,2
(past,1
30-day),1
drug,2
depressive,1
"symptoms.
",1
"Results
",8
Participants,1
characteristics,2
following:,1
median,5
age,6
34,2
(Q1;,2
Q3:,2
30;,1
37),1
years;,1
30%,1
female;,1
28%,1
count,1
<350;,1
44%,1
use.,1
During,3
"period,",1
31%,1
initiated,1
diagnosis,1
8.5,1
years,4
4.68;,1
13.61).,1
scores,3
decreased,1
yearly,1
0.57,1
(95%,1
CI,2
"-1.36,",1
0.22).,1
More,1
than,6
half,1
(27/47,1
[57.4%]),1
participants,3
eligible,2
per,1
local,1
guidelines,1
did,3
initiate,1
therapy.,1
Total,1
(AOR,1
"0.99,",1
95%CI,2
0.94–1.04;,1
AOR,1
"1.01,",1
"0.96–1.05,",1
"respectively).
",1
"Conclusion
",3
In,18
Russian,3
"HIV-positive,",1
"PWID,",1
change,2
Addressing,1
alone,1
unlikely,1
rates,2
population.,2
Reducing,1
further,5
existing,2
"barriers,",1
"e.g.,",1
promoting,2
equal,1
access,1
value,1
substance-use,1
treatment,8
success,1
should,5
complement,1
stigma-reduction,1
"approaches.
",1
"Introduction
",2
Alcohol,1
prevalent,1
among,8
women,13
hepatitis,1
C,1
Virus,1
(HCV),1
co-infection,3
despite,1
alcohol's,1
known,1
harmful,1
health,8
Identifying,1
factors,5
facilitate,1
continued,1
unhealthy,3
alcohol,8
critical,1
developing,1
effective,2
reduction,2
interventions.,1
This,7
assessed,4
situational,4
motivational,4
HIV/HCV,3
co-infected,1
clinical,15
care,2
Guided,1
model,6
"use,",2
we,15
conducted,1
30,1
semi-structured,1
interviews,1
living,2
drinking,4
barriers,2
facilitators,2
abstaining.,1
Interviews,1
recorded,2
analyzed,4
using,5
thematic,1
analysis,8
"approach.
",1
Despite,2
awareness,1
risks,2
many,2
heavy,1
episodic,1
"drinking,",1
particularly,1
social,2
situations.,2
A,6
motive,1
coping,2
negative,2
emotions,1
triggered,1
stressful,1
"situations,",1
such,4
as,19
