,"observed, эмп, 2021","expected, теор, 2022"
Abstract:,21,174
The,35,9
midbrain,2,148
periaqueductal,2,129
gray,2,236
(PAG),1,54
is,29,58
a,67,51
key,2,236
structure,1,181
involved,2,76
in,147,20
the,217,246
supraspinal,2,31
modulation,2,1
of,229,246
pain.,1,180
Previous,1,86
studies,9,187
have,13,106
reported,7,133
association,8,41
gut,3,201
inflammation-triggered,1,172
chronic,7,191
abdominal,3,108
pain,1,92
with,104,231
structural,2,50
and,249,87
neuronal,3,22
alterations,1,147
within,1,233
PAG.,1,142
"However,",3,47
whether,4,41
PAG-executed,1,131
visceral,6,248
nociception,2,36
processing,4,249
descending,3,249
are,13,44
altered,2,236
pathology,1,3
not,21,143
known.,1,124
We,23,199
used,6,185
c-Fos,3,214
immunohistochemistry,1,197
