,"observed, эмп, 2021","expected, теор, 2022"
Abstract:,21,21
The,35,35
midbrain,2,2
periaqueductal,2,2
gray,2,2
(PAG),1,1
is,29,29
a,67,67
key,2,2
structure,1,1
involved,2,2
in,147,147
the,217,217
supraspinal,2,2
modulation,2,2
of,229,229
pain.,1,1
Previous,1,1
studies,9,9
have,13,13
reported,7,7
association,8,8
gut,3,3
inflammation-triggered,1,1
chronic,7,7
abdominal,3,4
pain,1,2
with,104,105
structural,2,3
and,249,250
neuronal,3,4
alterations,1,2
within,1,2
PAG.,1,2
"However,",3,4
whether,4,5
PAG-executed,1,2
visceral,6,7
nociception,2,3
processing,4,5
descending,3,4
are,13,14
altered,2,3
pathology,1,2
not,21,22
known.,1,2
We,23,24
used,6,7
c-Fos,3,4
immunohistochemistry,1,2
