,0
abstract,32
infections,5
in,242
childhood,1
play,2
an,24
essential,4
role,6
the,388
pathogenesis,5
of,369
cognitive,6
and,319
psycho-emotional,1
disorders,4
one,8
possible,5
mechanisms,10
these,11
impairments,2
is,37
changes,14
functional,4
properties,3
nmda,3
ampa,3
glutamate,3
receptors,4
brain,9
we,40
suggest,4
that,33
bacterial,3
during,11
early,14
life,4
period,3
which,9
critical,3
for,86
excitatory,2
synapse,2
maturation,2
can,3
affect,4
subunit,2
composition,2
present,4
study,41
investigated,2
effect,11
repetitive,1
lipopolysaccharide,1
lps,1
intraperitoneal,1
ip,1
administration,4
25 μg/kg/day,1
on,37
p14,1
16,4
18,6
mimicking,2
infectious,2
disease,28
expression,22
subunits,1
young,3
rats,20
revealed,7
a,84
substantial,1
decrease,1
glun2b,1
hippocampus,8
at,31
p23,1
using,14
western,2
blot,2
analysis,13
real-time,1
polymerase,1
chain,1
reaction,2
assay,3
moderate,2
were,76
also,10
found,8
glun1,1
glun2a,1
glua1,1
mrna,9
lps-treated,1
exhibited,2
decreased,5
exploratory,2
locomotor,1
activity,6
open,2
field,1
test,2
impairment,7
spatial,1
learning,1
morris,1
water,1
maze,1
behavioral,2
accompanied,3
by,48
significant,7
reduction,8
long-term,5
hippocampal,1
synaptic,2
potentiation,3
our,12
data,15
indicate,1
lps-treatment,1
alters,2
ionotropic,2
receptor,7
gene,8
disturbs,1
plasticity,2
behavior,1
prolonged,2
exposure,6
to,129
manganese,2
mn,4
may,15
lead,3
toxic,1
effects,7
central,4
nervous,1
system,5
cns,2
underlying,4
neuronal,1
death,3
from,32
are,24
not,16
well,5
understood,1
but,7
undoubtedly,1
involve,1
inflammatory,5
processes,2
aim,5
this,21
was,85
explore,1
long-lasting,2
intranasal,4
focusing,1
catecholamine,1
dopamine,10
norepinephrine,2
levels,11
striatum,5
it,7
instillation,1
mncl2,2
solution,2
once,1
day,8
90,1
days,7
leads,1
impaired,3
movement,1
gait,1
observed,11
concentration,3
increased,18
30,4
%,27
220,2
24,3
dopac,2
35,3
reduced,2
190,1
with,141
simultaneously,1
observation,1
cytokine,11
both,13
assayed,1
cytokines,6
il-1β,1
tnf-α,1
there,6
3-fold,1
increase,7
iba-1,1
2-fold,1
nfκb,1
dramatic,1
ikb,1
taken,1
together,4
high,4
dose,1
induces,2
neuroinﬂammation,2
neurotransmission,1
disturbance,2
specific,5
each,5
studied,8
region,1
shortly,1
after,15
syphilis,2
appeared,2
europe,1
time,8
columbus’,1
voyage,1
new,3
world,3
big,1
pox,1
as,25
often,2
known,2
became,1
serious,1
issue,1
russia,3
diagnosis,6
treatment,18
prevention,1
members,3
russian,5
royal,1
family,1
made,3
aware,2
adolescence,1
onward,1
czar,1
peter,4
great,2
had,13
many,5
sexual,1
contacts,1
could,5
have,8
contracted,2
any,5
number,4
sexually,2
transmitted,2
diseases,2
stds,1
quite,1
common,8
his,2
era,2
nevertheless,1
contributions,2
analyzed,4
available,3
sources,3
contemporary,1
doctors,1
later,2
medical,1
analyses,1
reveal,2
no,8
evidence,6
he,2
or,22
other,10
std,1
most,11
likely,3
died,1
acute,10
renal,1
failure,1
due,2
urinary,1
tract,4
obstruction,1
upper,4
respiratory,3
world's,1
etiologic,1
agents,2
behind,1
urtis,1
fact,1
diverse,2
set,1
pathogens,7
such,7
influenza,6
parainfluenza,1
adenovirus,1
rhinovirus,1
others,1
more,10
than,11
200,1
be,14
involved,2
differential,3
viral,5
sometimes,1
complicated,1
their,8
diversity,1
similarity,1
clinical,16
presentation,1
work,3
devoted,2
development,6
method,6
enables,1
simultaneous,2
detection,2
six,5
urti,1
iav,2
ibv,1
rsv,1
hadv,1
hpiv2,1
hpiv3,1
antibody,6
microarray,4
technology,2
utilized,1
accomplish,1
preparation,2
protein,8
microchip,4
creation,1
produced,2
characterized,6
selected,2
approximately,2
50,4
monoclonal,3
antibodies,2
aforementioned,1
optimal,2
pair,1
created,1
its,4
core,1
working,3
conditions,3
optimized,1
balance,3
between,10
convenience,1
maximal,1
sensitivity,2
mind,2
one-step,1
approach,1
developed,3
accomplishing,1
elisa-like,1
sandwich,1
interaction,1
manufactured,1
reference,6
strains,1
used,7
establish,1
lower,10
limits,4
lod,3
025 ng/ml,1
total,3
viruses,3
ranged,1
1,18
2 ng/ml,1
slightly,1
better,2
those,6
standard,3
elisa,2
inferior,1
pcr,1
overall,11
believe,1
good,2
alternative,1
existing,1
methods,17
allowing,1
relatively,1
quick,1
overnight,1
inexpensive,1
screening,2
several,1
